NumeroChronique; DateDefaillance; TypeDefaillance; NombreAPUtouchees; Cause
1; 28/6/2032; DCC NL;2; FH
1; 23/5/2035; Ind;1; HW
1; 5/7/2035; Ind;1; HW
1; 1/8/2035; Ind;1; HW
1; 15/3/2036; Ind;1; HW
1; 2/4/2037; DCC NL;1; FH
1; 16/10/2037; Ind;1; HW
1; 8/3/2039; Ind;1; HW
1; 24/10/2039; Ind;1; HW
1; 11/11/2039; Ind;1; HW
2; 27/2/2024; DCC NL;1; HW
2; 10/9/2027; DCC L;5; HW
2; 23/6/2034; Ind;1; HW
2; 14/5/2035; DCC L;8; SW
2; 2/6/2036; Ind;1; HW
2; 2/2/2037; Ind;1; HW
2; 16/7/2037; Ind;1; HW
2; 18/9/2037; Ind;1; HW
2; 23/9/2037; Ind;1; HW
2; 29/4/2038; Ind;1; HW
2; 25/11/2038; Ind;1; HW
2; 27/3/2039; Ind;1; HW
2; 21/11/2039; Ind;1; HW
2; 11/12/2039; Ind;1; HW
2; 20/6/2040; DCC NL;4; FH
3; 24/1/2031; Ind;1; HW
3; 17/11/2032; Ind;1; HW
3; 9/10/2034; Ind;1; HW
3; 5/2/2035; Ind;1; HW
3; 18/7/2035; Ind;1; HW
3; 18/3/2036; Ind;1; HW
3; 5/6/2036; Ind;1; HW
3; 2/2/2038; Ind;1; HW
3; 16/12/2038; Ind;1; HW
3; 5/3/2039; Ind;1; HW
3; 19/7/2039; Ind;1; HW
3; 10/5/2040; Ind;1; HW
3; 27/5/2040; Ind;1; HW
3; 16/7/2040; Ind;1; HW
3; 27/11/2040; Ind;1; HW
4; 26/3/2019; DCC NL;2; FH
4; 27/10/2019; DCC NL;1; FH
4; 21/9/2022; DCC NL;1; FH
4; 3/5/2034; Ind;1; HW
4; 4/6/2035; Ind;1; HW
4; 13/4/2036; DCC NL;4; FH
4; 4/8/2036; Ind;1; HW
4; 1/2/2037; Ind;1; HW
4; 16/9/2037; Ind;1; HW
4; 12/8/2038; Ind;1; HW
4; 1/6/2039; Ind;1; HW
4; 10/9/2039; Ind;1; HW
4; 6/11/2040; Ind;1; HW
5; 10/4/2016; DCC L;5; FH
5; 4/8/2032; Ind;1; HW
5; 29/10/2034; Ind;1; HW
5; 8/10/2035; Ind;1; HW
5; 25/3/2036; Ind;1; HW
5; 24/2/2037; Ind;1; HW
5; 27/2/2037; Ind;1; HW
5; 8/2/2038; Ind;1; HW
5; 29/3/2038; Ind;1; HW
5; 17/7/2038; Ind;1; HW
5; 30/11/2038; DCC NL;1; FH
5; 20/7/2039; Ind;1; HW
5; 7/11/2039; Ind;1; HW
5; 16/3/2040; Ind;1; HW
5; 10/12/2040; Ind;1; HW
6; 6/12/2022; DCC NL;4; FH
6; 8/7/2023; DCC L;5; FH
6; 15/2/2035; Ind;1; HW
6; 2/7/2037; Ind;1; HW
6; 8/8/2037; Ind;1; HW
6; 23/6/2038; Ind;1; HW
6; 26/12/2038; Ind;1; HW
6; 20/11/2039; Ind;1; HW
6; 13/4/2040; Ind;1; HW
6; 10/6/2040; Ind;1; HW
6; 30/10/2040; Ind;1; HW
7; 9/4/2018; DCC NL;4; FH
7; 30/8/2024; DCC NL;4; HW
7; 11/8/2032; Ind;1; HW
7; 3/10/2035; Ind;1; HW
7; 1/4/2036; Ind;1; HW
7; 17/6/2038; Ind;1; HW
7; 19/4/2039; Ind;1; HW
7; 29/5/2039; Ind;1; HW
7; 14/1/2040; Ind;1; HW
7; 11/4/2040; Ind;1; HW
7; 30/6/2040; Ind;1; HW
7; 24/7/2040; Ind;1; HW
7; 10/10/2040; Ind;1; HW
8; 29/9/2016; DCC L;5; HW
8; 30/5/2024; DCC NL;5; FH
8; 6/1/2032; Ind;1; HW
8; 2/10/2033; Ind;1; HW
8; 20/5/2036; Ind;1; HW
8; 15/8/2036; Ind;1; HW
8; 19/2/2038; Ind;1; HW
8; 12/6/2039; Ind;1; HW
8; 23/9/2039; Ind;1; HW
8; 29/10/2039; Ind;1; HW
8; 26/7/2040; Ind;1; HW
9; 23/9/2019; DCC L;4; FH
9; 5/6/2020; DCC NL;1; FH
9; 9/11/2033; Ind;1; HW
9; 11/6/2034; Ind;1; HW
9; 1/7/2035; Ind;1; HW
9; 9/10/2035; Ind;1; HW
9; 20/5/2036; Ind;1; HW
9; 6/2/2037; Ind;1; HW
9; 11/7/2038; Ind;1; HW
9; 21/11/2038; Ind;1; HW
9; 5/2/2039; Ind;1; HW
9; 14/6/2039; Ind;1; HW
9; 1/9/2039; Ind;1; HW
9; 15/10/2039; Ind;1; HW
9; 14/12/2039; Ind;1; HW
9; 27/12/2039; Ind;1; HW
9; 24/3/2040; Ind;1; HW
9; 11/9/2040; Ind;1; HW
10; 31/12/2016; DCC L;5; HW
10; 18/2/2034; DCC NL;2; FH
10; 27/12/2034; Ind;1; HW
10; 5/1/2035; Ind;1; HW
10; 17/10/2036; Ind;1; HW
10; 18/3/2037; Ind;1; HW
10; 1/5/2038; Ind;1; HW
10; 4/10/2038; Ind;1; HW
10; 21/10/2038; Ind;1; HW
10; 21/1/2039; Ind;1; HW
10; 7/7/2039; Ind;1; HW
10; 6/2/2040; Ind;1; HW
10; 10/2/2040; Ind;1; HW
10; 10/10/2040; Ind;1; HW
10; 25/10/2040; Ind;1; HW
11; 20/8/2031; Ind;1; HW
11; 10/8/2033; Ind;1; HW
11; 3/9/2034; Ind;1; HW
11; 11/6/2036; Ind;1; HW
11; 13/10/2036; DCC NL;3; HW
11; 4/11/2036; Ind;1; HW
11; 9/1/2038; Ind;1; HW
11; 21/2/2038; Ind;1; HW
11; 29/4/2039; Ind;1; HW
11; 23/5/2039; Ind;1; HW
11; 11/10/2039; Ind;1; HW
11; 23/10/2039; Ind;1; HW
11; 3/2/2040; Ind;1; HW
12; 6/3/2022; DCC NL;2; FH
12; 26/6/2031; Ind;1; HW
12; 13/4/2035; Ind;1; HW
12; 16/5/2037; Ind;1; HW
12; 3/12/2037; Ind;1; HW
12; 12/8/2038; Ind;1; HW
12; 8/2/2039; Ind;1; HW
12; 13/7/2039; Ind;1; HW
12; 9/9/2039; Ind;1; HW
12; 17/9/2039; Ind;1; HW
12; 9/11/2039; Ind;1; HW
12; 3/2/2040; Ind;1; HW
12; 1/4/2040; Ind;1; HW
12; 26/5/2040; Ind;1; HW
12; 28/9/2040; Ind;1; HW
13; 19/12/2031; Ind;1; HW
13; 21/12/2037; DCC NL;2; FH
13; 23/4/2038; Ind;1; HW
13; 17/6/2038; Ind;1; HW
13; 25/3/2039; Ind;1; HW
13; 8/8/2039; Ind;1; HW
13; 23/9/2039; Ind;1; HW
13; 8/10/2039; Ind;1; HW
13; 19/1/2040; Ind;1; HW
13; 28/6/2040; DCC NL;1; FH
13; 3/7/2040; Ind;1; HW
13; 7/8/2040; Ind;1; HW
13; 6/11/2040; Ind;1; HW
13; 17/11/2040; Ind;1; HW
13; 10/12/2040; Ind;1; HW
14; 27/10/2026; DCC L;4; FH
14; 3/6/2027; DCC L;5; FH
14; 26/3/2028; DCC NL;1; FH
14; 20/3/2031; DCC NL;5; HW
14; 22/6/2031; Ind;1; HW
14; 3/10/2034; Ind;1; HW
14; 7/9/2036; Ind;1; HW
14; 29/6/2037; Ind;1; HW
14; 26/11/2037; Ind;1; HW
14; 8/12/2038; Ind;1; HW
14; 16/5/2039; Ind;1; HW
14; 11/3/2040; Ind;1; HW
14; 24/12/2040; Ind;1; HW
15; 8/12/2020; DCC L;12; FH
15; 1/2/2022; DCC NL;2; FH
15; 18/8/2032; Ind;1; HW
15; 24/5/2034; Ind;1; HW
15; 28/12/2034; Ind;1; HW
15; 1/1/2036; Ind;1; HW
15; 17/9/2036; Ind;1; HW
15; 12/2/2037; Ind;1; HW
15; 19/6/2038; Ind;1; HW
15; 9/8/2038; Ind;1; HW
15; 16/12/2038; Ind;1; HW
15; 24/4/2039; Ind;1; HW
15; 13/6/2039; Ind;1; HW
15; 22/1/2040; Ind;1; HW
15; 13/5/2040; Ind;1; HW
16; 14/4/2016; DCC NL;1; FH
16; 9/6/2016; DCC NL;2; HW
16; 31/8/2023; DCC NL;3; FH
16; 18/7/2027; Ind;1; HW
16; 5/9/2030; Ind;1; HW
16; 9/3/2036; Ind;1; HW
16; 15/4/2037; Ind;1; HW
16; 18/3/2038; Ind;1; HW
16; 4/6/2038; Ind;1; HW
16; 29/7/2038; Ind;1; HW
16; 28/9/2038; Ind;1; HW
16; 21/10/2038; Ind;1; HW
16; 12/12/2038; Ind;1; HW
16; 25/6/2039; Ind;1; HW
16; 29/6/2039; Ind;1; HW
16; 9/9/2040; Ind;1; HW
16; 12/9/2040; Ind;1; HW
17; 28/3/2027; DCC NL;1; HW
17; 4/3/2031; DCC NL;1; FH
17; 8/6/2032; Ind;1; HW
17; 22/5/2033; Ind;1; HW
17; 12/1/2034; DCC NL;2; HW
17; 9/5/2035; Ind;1; HW
17; 17/4/2036; DCC NL;3; FH
17; 16/2/2037; DCC NL;3; HW
17; 22/8/2037; Ind;1; HW
17; 30/4/2038; Ind;1; HW
17; 23/12/2038; Ind;1; HW
17; 18/2/2039; Ind;1; HW
17; 19/8/2039; Ind;1; HW
17; 1/3/2040; Ind;1; HW
