numerochronique;datedefaillance;typedefaillance;nombreaputouchees;cause
1; 5/1/2019; DCC NL;1; FH
1; 6/7/2021; DCC NL;1; FH
1; 17/5/2023; DCC L;4; FH
1; 26/10/2032; Ind;1; HW
1; 28/8/2034; Ind;1; HW
1; 5/2/2036; Ind;1; HW
1; 1/5/2036; Ind;1; HW
1; 16/3/2037; Ind;1; HW
1; 31/1/2038; Ind;1; HW
1; 5/12/2038; Ind;1; HW
1; 8/12/2038; Ind;1; HW
1; 10/3/2039; Ind;1; HW
1; 29/5/2039; Ind;1; HW
1; 27/4/2040; Ind;1; HW
1; 22/11/2040; Ind;1; HW
2; 5/2/2016; DCC NL;3; FH
2; 1/11/2028; DCC L;8; SW
2; 4/2/2034; Ind;1; HW
2; 13/5/2035; Ind;1; HW
2; 21/10/2035; Ind;1; HW
2; 1/3/2036; Ind;1; HW
2; 13/6/2036; Ind;1; HW
2; 23/4/2037; Ind;1; HW
2; 19/7/2037; Ind;1; HW
2; 29/6/2038; Ind;1; HW
2; 25/3/2039; Ind;1; HW
2; 30/12/2039; Ind;1; HW
2; 30/10/2040; Ind;1; HW
3; 3/9/2023; DCC NL;1; FH
3; 23/1/2030; DCC NL;2; FH
3; 17/3/2034; Ind;1; HW
3; 18/5/2034; Ind;1; HW
3; 10/9/2034; Ind;1; HW
3; 16/7/2035; Ind;1; HW
3; 1/10/2035; Ind;1; HW
3; 11/4/2037; Ind;1; HW
3; 1/9/2037; Ind;1; HW
3; 24/12/2038; Ind;1; HW
3; 30/12/2038; Ind;1; HW
3; 3/1/2040; Ind;1; HW
3; 15/2/2040; Ind;1; HW
3; 4/4/2040; Ind;1; HW
4; 16/11/2016; DCC NL;3; HW
4; 29/8/2032; DCC NL;4; FH
4; 6/12/2034; Ind;1; HW
4; 9/7/2036; Ind;1; HW
4; 16/11/2036; Ind;1; HW
4; 11/11/2037; Ind;1; HW
4; 26/11/2037; Ind;1; HW
4; 11/12/2037; Ind;1; HW
4; 7/5/2038; Ind;1; HW
4; 19/6/2038; Ind;1; HW
4; 16/7/2038; Ind;1; HW
4; 11/8/2039; Ind;1; HW
4; 7/12/2039; DCC NL;5; HW
5; 14/7/2028; DCC NL;2; FH
5; 24/3/2029; DCC NL;2; FH
5; 20/10/2030; DCC NL;2; FH
5; 25/8/2032; DCC NL;2; FH
5; 1/12/2035; Ind;1; HW
5; 15/8/2036; Ind;1; HW
