numerochronique;datedefaillance;typedefaillance;nombreaputouchees;cause
1; 21/1/2022; DCC NL;8;NI
1; 29/10/2025; DCC NL;1;FH
1; 13/11/2032; Ind;1;HW
1; 27/12/2035; Ind;1;NI
1; 22/2/2036; Ind;1;NI
1; 29/8/2036; Ind;1;HW
1; 23/12/2037; Ind;1;NI
1; 5/6/2038; Ind;1;HW
1; 26/6/2038; Ind;1;HW
1; 20/3/2039; Ind;1;HW
1; 22/6/2039; Ind;1;HW
1; 5/8/2039; Ind;1;NI
1; 12/8/2039; Ind;1;HW
1; 3/2/2040; Ind;1;NI
2; 3/5/2018; Ind;1;NI
2; 30/1/2020; DCC NL;1;FH
2; 2/12/2031; Ind;1;HW
2; 26/2/2032; DCC NL;1;FH
2; 27/6/2034; Ind;1;HW
2; 8/8/2034; DCC L;5;NI
2; 3/1/2038; Ind;1;HW
2; 26/8/2038; DCC NL;4;FH
2; 2/9/2038; Ind;1;NI
2; 8/7/2039; Ind;1;HW
2; 28/4/2040; Ind;1;HW
2; 8/8/2040; Ind;1;NI
2; 25/9/2040; Ind;1;HW
3; 26/4/2037; Ind;1;NI
3; 31/8/2037; Ind;1;HW
3; 20/12/2037; Ind;1;NI
3; 7/11/2038; Ind;1;NI
3; 24/2/2039; Ind;1;NI
3; 4/3/2039; Ind;1;HW
3; 8/6/2039; Ind;1;HW
3; 12/1/2040; Ind;1;NI
3; 31/8/2040; Ind;1;NI
4; 21/1/2028; Ind;1;NI
4; 29/5/2030; Ind;1;HW
4; 29/5/2033; Ind;1;NI
4; 27/4/2034; Ind;1;NI
4; 18/7/2038; Ind;1;HW
4; 7/8/2038; Ind;1;HW
4; 19/2/2039; Ind;1;HW
4; 23/6/2039; Ind;1;HW
4; 31/7/2039; Ind;1;HW
4; 29/9/2039; Ind;1;NI
4; 24/3/2040; Ind;1;HW
4; 20/7/2040; Ind;1;HW
4; 26/10/2040; Ind;1;HW
5; 20/12/2029; Ind;1;HW
5; 20/5/2032; Ind;1;NI
5; 15/12/2035; Ind;1;HW
5; 8/3/2037; Ind;1;NI
5; 23/3/2037; Ind;1;HW
5; 30/6/2037; Ind;1;HW
5; 29/6/2038; Ind;1;HW
5; 27/2/2039; Ind;1;HW
5; 21/6/2039; Ind;1;HW
5; 1/7/2039; Ind;1;HW
5; 27/3/2040; Ind;1;HW
5; 13/11/2040; Ind;1;HW
5; 9/12/2040; Ind;1;HW
6; 28/1/2025; DCC NL;2;FH
6; 25/11/2030; Ind;1;HW
6; 3/8/2036; Ind;1;HW
6; 6/6/2037; Ind;1;NI
6; 12/11/2037; Ind;1;NI
6; 5/4/2038; Ind;1;NI
6; 25/9/2038; Ind;1;NI
6; 24/1/2039; Ind;1;NI
6; 27/10/2039; Ind;1;NI
6; 12/1/2040; Ind;1;NI
6; 22/1/2040; Ind;1;NI
6; 10/2/2040; Ind;1;NI
6; 25/5/2040; Ind;1;HW
6; 26/7/2040; Ind;1;HW
7; 31/12/2020; Ind;1;NI
7; 30/3/2021; DCC NL;2;HW
7; 28/9/2026; DCC NL;1;FH
7; 27/11/2029; DCC L;4;FH
7; 27/10/2034; Ind;1;NI
7; 25/2/2035; DCC L;4;FH
7; 26/11/2035; DCC NL;1;FH
7; 31/1/2036; Ind;1;HW
7; 3/10/2036; DCC L;5;HW
7; 25/9/2037; Ind;1;NI
7; 13/7/2039; Ind;1;NI
7; 4/10/2039; Ind;1;HW
7; 19/12/2039; DCC NL;2;NI
7; 18/2/2040; Ind;1;HW
7; 28/3/2040; Ind;1;NI
7; 26/6/2040; Ind;1;NI
7; 6/9/2040; Ind;1;HW
8; 16/11/2026; DCC L;12;NI
8; 30/3/2028; DCC NL;5;FH
8; 29/5/2031; DCC NL;1;FH
8; 16/7/2033; DCC L;5;HW
8; 29/8/2034; Ind;1;NI
8; 10/7/2037; Ind;1;NI
8; 23/7/2037; Ind;1;HW
8; 29/3/2038; Ind;1;NI
8; 12/4/2039; Ind;1;NI
8; 18/11/2039; Ind;1;HW
8; 13/4/2040; Ind;1;HW
9; 22/12/2016; DCC L;8;NI
9; 28/11/2026; DCC NL;4;FH
9; 30/1/2034; Ind;1;NI
9; 26/11/2034; DCC L;8;FH
9; 28/6/2035; Ind;1;HW
9; 27/7/2035; DCC NL;1;FH
9; 10/5/2036; Ind;1;HW
9; 7/4/2037; Ind;1;HW
9; 13/8/2037; Ind;1;NI
9; 10/12/2038; Ind;1;HW
9; 26/1/2039; Ind;1;NI
9; 25/2/2039; Ind;1;HW
9; 1/10/2039; Ind;1;NI
9; 17/3/2040; Ind;1;HW
9; 26/8/2040; Ind;1;NI
9; 28/10/2040; Ind;1;NI
10; 30/10/2033; Ind;1;NI
10; 26/12/2034; Ind;1;HW
10; 26/1/2036; Ind;1;NI
10; 14/5/2036; Ind;1;HW
10; 4/11/2036; Ind;1;HW
10; 21/11/2036; Ind;1;HW
10; 25/6/2037; Ind;1;NI
10; 13/4/2038; Ind;1;HW
10; 20/6/2038; Ind;1;HW
